id,name,district,area,type,address,lat,lng,founded,areaSqm,enterprises,focus,services,website,contact,description,source,landType,level,huanping,weifei,bsl,gmp,medical,lab,analyze,animal,pilot,utility,coldchain,fitout,subsidy,fund,talent,approval,metro,hospital,occupancy,operator,benchmark,rent,propertyFee,freeMonths,photos,leaseNote,location,height,highlight,delivery,advantage,tenants,updateTime,updateLog,areaNote,rentRange,fee_note,terms,bus,feeNote
shwhgu-001,北工大山河湾谷创新区（先导区）,垡头地区,朝阳南部,科技孵化器,北京市朝阳区北控科创园5号楼（山河湾谷先导区）,39.8502,116.5294,2024,1.3,200,人工智能|智能机器人与装备|AI+医工交叉|新一代信息技术,成果转化|企业孵化|一站式注册财税|概念验证,,,北京首个区政府、高校与市属企业联合打造的环高校创新区（国家级大学科技园体系），2024年10月先导区运行，43个创业团队入驻。,新华社/北京工业大学公开报道（2025-06）,A35,校级,园区环评批复（含实验室/中试业态，待核实）,园区统一签约第三方危废处置,P1（P2可备案改造）,无现成洁净区，可定制改造,可配合二类医疗器械备案核查,共享实验室（部分园区）,检测分析平台（视园区）,无动物房,中试/测试车间（视园区）,双回路电|UPS,无生物冷链,毛坯/精装可选，实验室可定制,朝阳区房租补贴/中关村政策,合作基金/科技贷对接,凤凰计划、海聚工程申报辅导,注册审批绿色通道申报辅导,7号线欢乐谷景区站约2km,待核实,85,园区运营方（待核实）,待核实（建议现场调研补充）,2.5,6.5,2,,,,,,,,,,,,,,,,
weidianzi-001,中科院微电子研究所硬科技孵化器,亚运村街道,奥体,科技孵化器,北京市朝阳区北土城西路3号,39.977,116.377,2015,1.0,50,集成电路|微电子|硬科技,中关村硬科技孵化平台|技术转移|产业链资源对接,,,中关村硬科技孵化器，依托中科院微电子所学科与人才优势。,中关村孵化器名录（北京市科委）,A35,省市级,园区环评批复（含实验室/中试业态，待核实）,园区统一签约第三方危废处置,P1（P2可备案改造）,无现成洁净区，可定制改造,可配合二类医疗器械备案核查,共享实验室（部分园区）,检测分析平台（视园区）,无动物房,中试/测试车间（视园区）,双回路电|UPS,无生物冷链,毛坯/精装可选，实验室可定制,朝阳区房租补贴/中关村政策,合作基金/科技贷对接,凤凰计划、海聚工程申报辅导,注册审批绿色通道申报辅导,8号线奥体中心站,待核实,85,园区运营方（待核实）,待核实（建议现场调研补充）,4.0,10.4,2,,,,,,,,,,,,,,,,
dzcic-001,电子城集成电路设计孵化器（中关村硬科技孵化器）,酒仙桥街道,酒仙桥,科技孵化器,北京市朝阳区酒仙桥路6号院5号楼,39.9758,116.4875,2018,1.5,60,集成电路设计|EDA|芯片,EDA工具平台|流片对接|中关村政策服务,,,中关村硬科技孵化器，位于电子城科技园内。,中关村孵化器名录（北京市科委）,M1,省市级,园区环评批复（含实验室/中试业态，待核实）,园区统一签约第三方危废处置,P1（P2可备案改造）,无现成洁净区，可定制改造,可配合二类医疗器械备案核查,共享实验室（部分园区）,检测分析平台（视园区）,无动物房,中试/测试车间（视园区）,双回路电|UPS,无生物冷链,毛坯/精装可选，实验室可定制,朝阳区房租补贴/中关村政策,合作基金/科技贷对接,凤凰计划、海聚工程申报辅导,注册审批绿色通道申报辅导,14号线将台站,待核实,85,园区运营方（待核实）,待核实（建议现场调研补充）,4.2,10.9,2,,,,,,,,,,,,,,,,
heima-001,创业黑马（朝阳总部基地）,酒仙桥街道,酒仙桥,科技孵化器,北京市朝阳区酒仙桥路6号院6号楼A座8层,39.9742,116.4902,2008,0.2,40,创业加速|产业孵化|企业服务,黑马营|加速器|投融资对接|产业资源,,,工信部卓越级科技型企业孵化器（2025），中国领先的创业加速服务机构。,工信部卓越级名单（2025-10 公示）,M1,国家级,园区环评批复（含实验室/中试业态，待核实）,园区统一签约第三方危废处置,P1（P2可备案改造）,无现成洁净区，可定制改造,可配合二类医疗器械备案核查,共享实验室（部分园区）,检测分析平台（视园区）,无动物房,中试/测试车间（视园区）,双回路电|UPS,无生物冷链,毛坯/精装可选，实验室可定制,朝阳区房租补贴/中关村政策,合作基金/科技贷对接,凤凰计划、海聚工程申报辅导,注册审批绿色通道申报辅导,14号线将台站,待核实,85,园区运营方（待核实）,待核实（建议现场调研补充）,6.0,15.6,1,,,,,,,,,,,,,,,,
hanyu-001,瀚誉智慧康养孵化器（大望京中心）,崔各庄地区,望京,科技孵化器,北京市朝阳区崔各庄大望京中心,39.998,116.485,2024,0.7,19,智慧康养|数字医疗|颠覆性技术,朝阳青创15条政策|免费办公场地|投融资对接|朝阳颠覆性技术创新中心,,,2025年度北京市科技型企业孵化器，与朝阳区人才工作局共建。（坐标待核实）,朝阳区政府新闻（2025-06 市级认定）,B2,省市级,商务/办公业态,无,无,无,不适用,无,无,无,无,商务标准供电,无,精装办公/工位制,无专项补贴,投融资路演对接,无专项,不适用,14号线望京南站（待核实）,待核实,85,园区运营方（待核实）,待核实（建议现场调研补充）,4.0,10.4,2,,,,,,,,,,,,,,,,
chaokechuang-001,朝科创（北京朝阳国际科技创新服务有限公司）,望京街道,望京,科技孵化器,北京市朝阳区（具体地址待核实）,39.996,116.474,2019,1.0,50,科技创新服务|企业培育,科技创新服务|政策申报|企业培育,,,北京市级科技企业孵化器，朝阳区属科技创新服务平台。（地址待核实）,北京市市级科技企业孵化器名单（2025-07）,B2,省市级,商务/办公业态,无,无,无,不适用,无,无,无,无,商务标准供电,无,精装办公/工位制,无专项补贴,投融资路演对接,无专项,不适用,待核实,待核实,85,园区运营方（待核实）,待核实（建议现场调研补充）,4.0,10.4,2,,,,,,,,,,,,,,,,
kexing-001,氪星创服创新中心,望京街道,望京,科技孵化器,北京市朝阳区望京区域（具体地址待核实）,39.995,116.475,2018,1.0,50,科技服务|企业服务|创业孵化,创业服务|融资对接|媒体传播,,,市级科技企业孵化器（36氪旗下），服务科技企业。（地址待核实）,北京市市级科技企业孵化器名单（2025-07）,B2,省市级,商务/办公业态,无,无,无,不适用,无,无,无,无,商务标准供电,无,精装办公/工位制,无专项补贴,投融资路演对接,无专项,不适用,待核实,待核实,85,园区运营方（待核实）,待核实（建议现场调研补充）,4.0,10.4,2,,,,,,,,,,,,,,,,
e9-001,E9区创新工场,常营地区,常营,科技孵化器,北京市朝阳区双桥东路甲1号,39.9162,116.5698,2019,2.5,90,人工智能|文化科技|数字内容,创业大赛|种子基金|加速营|企业游学,,010-65720000,老厂房改造的科技文创融合园区，文化科技融合特征显著，朝阳区首批示范园区。,朝阳区首批示范园区名单（2020）,C65,区级,园区环评批复（含实验室/中试业态，待核实）,园区统一签约第三方危废处置,P1（P2可备案改造）,无现成洁净区，可定制改造,可配合二类医疗器械备案核查,共享实验室（部分园区）,检测分析平台（视园区）,无动物房,中试/测试车间（视园区）,双回路电|UPS,无生物冷链,毛坯/精装可选，实验室可定制,朝阳区房租补贴/中关村政策,合作基金/科技贷对接,凤凰计划、海聚工程申报辅导,注册审批绿色通道申报辅导,八通线双桥站约1.2km,距首都医科大学附属北京朝阳医院/中日友好医院约3-6km（待核实）,85,园区运营方（待核实）,待核实（建议现场调研补充）,3.0,7.8,2,,,,,,,,,,,,,,,,
wangjingsmkx-001,望京生命科学园,来广营地区,望京,科技孵化器,北京市朝阳区容达路21号,40.01,116.455,2018,11.2,80,生物医药|医疗器械|数字健康,生命科学专业载体|企业孵化|政策对接,,,坐落于中关村朝阳园西区，总建筑面积11.18万㎡，聚焦生命科学领域，重点发展生物医药、医疗器械、数字健康。（坐标与详情待核实）,网易新闻·望京酒仙桥36空间盘点（企业选址地图）,A35,省市级,园区环评含生物医药研发业态（待核实）,园区统一签约第三方危废处置,P2 可备案（待核实）,无现成洁净区，可定制改造,可配合二类医疗器械备案核查,生物医药研发空间可定制,生命科学检测平台（待核实）,无动物房,中试/测试车间（视园区）,双回路电|纯水,冷库配套（待核实）,毛坯/精装可选，实验室可定制,中关村朝阳园生物医药专项政策（待核实）,合作基金/科技贷对接,凤凰计划、海聚工程申报辅导,药械注册辅导（待核实）,14号线来广营站约1km,距中日友好医院/朝阳医院约5km（待核实）,85,园区运营方（待核实）,待核实（建议现场调研补充）,4.0,10.4,2,,,,,,,,,,,,,,,,
weilai-001,中关村（朝阳）未来显示产业园,酒仙桥街道,酒仙桥,科技孵化器,北京市朝阳区酒仙桥区域（具体地址待核实）,39.972,116.49,2025,5.0,70,未来显示|光学|半导体|超高清,未来显示孵化中心|成果转化平台|产业基金,,,2025年度中关村特色产业园，聚集41家高企、17家专精特新中小企业。（坐标待核实）,朝阳区政府新闻（2026-03，中关村特色产业园授牌）,M1,省市级,园区环评批复（含实验室/中试业态，待核实）,园区统一签约第三方危废处置,P1（P2可备案改造）,无现成洁净区，可定制改造,可配合二类医疗器械备案核查,共享实验室（部分园区）,检测分析平台（视园区）,无动物房,中试/测试车间（视园区）,双回路电|UPS,无生物冷链,毛坯/精装可选，实验室可定制,朝阳区房租补贴/中关村政策,合作基金/科技贷对接,凤凰计划、海聚工程申报辅导,注册审批绿色通道申报辅导,14号线将台站（待核实）,待核实,85,园区运营方（待核实）,待核实（建议现场调研补充）,3.8,9.9,2,,,,,,,,,,,,,,,,
wangjing-002,中关村朝阳园 · 望京国际研发园,望京街道,望京,数字经济,北京市朝阳区望京东路6号,39.9882,116.478,2016,8.5,350,数字经济|人工智能|云计算,产业基金|公共算力平台|政策服务|企业家沙龙,,010-64390000,中关村朝阳园核心区域，总建筑面积8.5万㎡，数字经济企业集聚。（部分数据待核实）,望京酒仙桥36空间盘点；中关村朝阳园公开资料,A35,省市级,园区环评批复（含实验室/中试业态，待核实）,园区统一签约第三方危废处置,P1（P2可备案改造）,无现成洁净区，可定制改造,可配合二类医疗器械备案核查,共享实验室（部分园区）,检测分析平台（视园区）,无动物房,中试/测试车间（视园区）,双回路电|UPS,无生物冷链,毛坯/精装可选，实验室可定制,朝阳区房租补贴/中关村政策,合作基金/科技贷对接,凤凰计划、海聚工程申报辅导,注册审批绿色通道申报辅导,15号线望京东站,距首都医科大学附属北京朝阳医院/中日友好医院约3-6km（待核实）,85,园区运营方（待核实）,待核实（建议现场调研补充）,5.0,13.0,1,,,,,,,,,,,,,,,,
jinzhan-001,金盏国际合作服务区,金盏地区,金盏,数字经济,北京市朝阳区金盏国际合作服务区,40.0002,116.57,2020,15.0,100,跨境数字贸易|国际金融|服务贸易,自贸区政策|跨境结算|国际招商,,010-65430000,国家服务业扩大开放综合示范区核心承载区，区属重点平台。（部分数据待核实）,金盏国际合作服务区管委会公开资料（待核实）,B2,区级,商务/办公业态,无,无,无,不适用,无,无,无,无,商务标准供电,无,精装办公/工位制,无专项补贴,投融资路演对接,无专项,不适用,暂无地铁（远期规划）,距首都医科大学附属北京朝阳医院/中日友好医院约3-6km（待核实）,85,园区运营方（待核实）,待核实（建议现场调研补充）,2.5,6.5,2,,,,,,,,,,,,,,,,
cbdcenter-001,北京CBD数字经济创新中心,建外街道,CBD,数字经济,北京市朝阳区CBD区域（具体地址待核实）,39.913,116.458,2021,1.2,60,数字经济|数字贸易|企业服务,数字经济孵化|跨境数字服务对接,,,市级科技企业孵化器（北京双创街运营），聚焦CBD数字经济。（地址待核实）,北京市市级科技企业孵化器名单（2025-07）,B2,省市级,商务/办公业态,无,无,无,不适用,无,无,无,无,商务标准供电,无,精装办公/工位制,无专项补贴,投融资路演对接,无专项,不适用,待核实,待核实,85,园区运营方（待核实）,待核实（建议现场调研补充）,5.0,13.0,1,,,,,,,,,,,,,,,,
shuziren-001,朝阳数字人AI孵化器,望京街道,望京,数字经济,北京市朝阳区望京区域（具体地址待核实）,39.992,116.478,2023,0.8,40,数字人|AIGC|人工智能,算力支持|内容合规辅导|产业对接,,,市级科技企业孵化器（北京数智云科），聚焦数字人与AIGC赛道。（地址待核实）,北京市市级科技企业孵化器名单（2025-07）,B2,省市级,商务/办公业态,无,无,无,不适用,无,无,无,无,商务标准供电,无,精装办公/工位制,无专项补贴,投融资路演对接,无专项,不适用,待核实,待核实,85,园区运营方（待核实）,待核实（建议现场调研补充）,4.0,10.4,2,,,,,,,,,,,,,,,,
aispace-001,中关村（朝阳）AI Space产业园,望京街道,望京,数字经济,北京市朝阳区望京东路1号望京数字创意园,39.992,116.483,2023,52.9,300,人工智能|AI+应用|具身智能,AI展厅|具身智能测试实验室|算力支持|人才培训,,,2025年度中关村特色产业园，总建筑面积52.85万㎡，集聚美团、完美世界、摩尔线程等企业，设朝阳区人工智能一站式服务中心。,朝阳区政府新闻（2026-03，中关村特色产业园授牌）；望京36空间盘点,B2,省市级,商务/办公业态,无,无,无,不适用,无,无,无,无,商务标准供电,无,精装办公/工位制,无专项补贴,投融资路演对接,无专项,不适用,15号线望京东站,待核实,85,园区运营方（待核实）,待核实（建议现场调研补充）,4.5,11.7,2,,,,,,,,,,,,,,,,
wangjingwl-001,望京未来信息园,望京街道,望京,数字经济,北京市朝阳区利泽东街5号,39.993,116.47,2015,12.5,120,新一代信息技术|企业服务,高品质办公配套|政策服务,,,坐落于中关村朝阳园西区，总建筑面积12.52万㎡，距15号线望京东站步行10分钟。（部分数据待核实）,望京酒仙桥36空间盘点,B2,省市级,商务/办公业态,无,无,无,不适用,无,无,无,无,商务标准供电,无,精装办公/工位制,无专项补贴,投融资路演对接,无专项,不适用,15号线望京东站,待核实,85,园区运营方（待核实）,待核实（建议现场调研补充）,4.5,11.7,2,,,,,,,,,,,,,,,,
jianguomen-002,优客工场 · 国贸CBD社区,建外街道,CBD,综合孵化器,北京市朝阳区光华路15号院,39.9138,116.462,2015,1.2,60,共享办公|企业服务|金融科技,灵活工位|工商注册|社群活动|投融资对接,https://www.urwork.cn/,400-888-8888,联合办公连锁品牌CBD社区，按工位/小间出租，适合1-20人小团队。（社区信息待核实）,优客工场官网 urwork.cn（具体社区待核实）,B2,其他,商务/办公业态,无,无,无,不适用,无,无,无,无,商务标准供电,无,精装办公/工位制,无专项补贴,投融资路演对接,无专项,不适用,1/10号线国贸站,距首都医科大学附属北京朝阳医院/中日友好医院约3-6km（待核实）,85,园区运营方（待核实）,待核实（建议现场调研补充）,8.0,20.8,1,,,,,,,,,,,,,,,,
sanlitun-001,三里屯SOHO 3Q · 创意孵化社区,三里屯街道,三里屯,综合孵化器,北京市朝阳区工体北路8号三里屯SOHO,39.9355,116.4552,2014,0.9,45,消费品牌|文化创意|直播电商,灵活办公|品牌路演|流量资源对接,,010-65930000,SOHO中国旗下3Q联合办公三里屯社区。（部分数据待核实）,SOHO中国公开资料（待核实）,B2,其他,商务/办公业态,无,无,无,不适用,无,无,无,无,商务标准供电,无,精装办公/工位制,无专项补贴,投融资路演对接,无专项,不适用,10号线团结湖站,距首都医科大学附属北京朝阳医院/中日友好医院约3-6km（待核实）,85,园区运营方（待核实）,待核实（建议现场调研补充）,9.0,23.4,1,,,,,,,,,,,,,,,,
hengtong-001,UCP恒通国际创新园,,,文创园区,朝阳区恒通国际创新园（彩虹路南）,39.978,116.499,0,0,0,,员工餐厅、星巴克、瑞幸、Manner、罗森便利店、健身房、足球/网球/羽毛球场地等、明德医院、颐泰酒店、多功能厅等,,,北京市级文化产业园，国有景，可享受“房租通”等优惠政策,Obsidian 园区信息笔记（待核实）,C65,省市级,文创/办公业态（待核实）,无实验室危废处理条件,无,无,不适用,无,无,无,无,普通供电,无,老厂房改造/创意空间,文创产业扶持政策（待核实）,文创基金对接,人才政策,不适用,,,85,园区运营方（待核实）,待核实（建议现场调研补充）,3.5,16.0,2,photos/hengtong-001/1.jpg|photos/hengtong-001/2.jpg|photos/hengtong-001/3.jpg|photos/hengtong-001/4.jpg|photos/hengtong-001/5.jpg|photos/hengtong-001/6.jpg|photos/hengtong-001/7.jpg,2370.29㎡,C18座独栋,6.4m,临近4号门主入口，位置优越，私密独栋，超高使用率,遗留装修,北京市级文化产业园，国有景，可享受“房租通”等优惠政策,民生现代美术馆、有咖互动、鑫宝源、马蜂窝、蓝色光标、赛博大象、美拉传媒、工夫影业等。,2026-08-07,2026-08-07：对齐 Obsidian 更新——物业费 16元/月/㎡（含发票）；配套 员工餐厅、星巴克、瑞幸、Manner、罗森便利店、健身房、足球/网球/羽毛球场地等、明德医院、颐泰酒；入驻企业 民生现代美术馆、有咖互动、鑫宝源、马蜂窝、蓝色光标、赛博大象、美拉传媒、工夫影业等。；照片 ×7,,,,,,
